,uid,Competence,Benevolence,Integrity,Trusting Beliefs,Intention to Return,Perceived Transparency,1D Trust,MD Trust,MD Trust (RW),Acceptance,Research Group
0,1886,6.2,6.333333333333333,6.666666666666667,19.2,5.0,7,6,31.2,18.4,1.0,IRE
1,1891,6.2,6.666666666666667,5.666666666666667,18.533333333333335,6.0,4,6,28.533333333333335,16.177777777777777,0.5,IRE
2,1894,5.6,6.333333333333333,5.666666666666667,17.6,6.0,3,5,26.6,14.866666666666667,1.0,IRE
3,1895,6.4,7.0,7.0,20.4,7.0,7,7,34.4,20.8,1.0,IRE
4,1932,6.2,6.0,6.666666666666667,18.866666666666667,6.0,7,7,31.866666666666667,19.288888888888888,1.0,IRE
5,1842,6.2,5.333333333333333,6.666666666666667,18.2,5.0,7,7,30.2,18.066666666666666,1.0,IRE
6,1930,6.2,5.666666666666667,6.666666666666667,18.533333333333335,6.5,7,7,32.03333333333333,19.677777777777777,1.0,IRE
7,1970,5.4,6.0,6.0,17.4,6.0,6,6,29.4,17.8,0.8,IRE
8,1973,6.0,6.0,6.666666666666667,18.666666666666668,6.0,5,6,29.666666666666668,17.22222222222222,1.0,IRE
9,1976,3.0,5.0,4.666666666666667,12.666666666666668,5.0,4,3,21.666666666666668,13.222222222222221,1.0,IRE
10,1887,5.8,6.0,6.0,17.8,6.0,6,6,29.8,17.933333333333334,1.0,IPE
11,1896,6.0,6.0,6.0,18.0,5.5,5,5,28.5,16.5,0.8,IPE
12,1911,5.2,5.0,5.333333333333333,15.533333333333331,6.0,2,6,23.53333333333333,13.177777777777777,0.5,IPE
13,1914,6.0,6.0,6.0,18.0,6.0,3,6,27.0,15.0,1.0,IPE
14,1939,5.2,6.333333333333333,6.0,17.53333333333333,5.0,5,6,27.53333333333333,15.844444444444445,1.0,IPE
15,1938,3.8,5.333333333333333,3.6666666666666665,12.799999999999999,4.5,5,3,22.299999999999997,13.766666666666666,1.0,IPE
16,1947,6.0,7.0,7.0,20.0,6.0,3,7,29.0,15.666666666666668,0.8,IPE
17,1956,4.0,4.666666666666667,5.333333333333333,14.0,6.0,6,6,26.0,16.666666666666668,0.6,IPE
18,1958,4.0,4.0,4.0,12.0,4.0,4,4,20.0,12.0,1.0,IPE
19,1962,4.8,6.0,5.333333333333333,16.133333333333333,6.0,5,4,27.133333333333333,16.377777777777776,1.0,IPE
20,1968,6.2,5.0,6.333333333333333,17.53333333333333,5.5,3,6,26.03333333333333,14.344444444444445,0.8,IPE
21,1971,3.6,4.333333333333333,3.6666666666666665,11.6,2.5,4,2,18.1,10.366666666666667,1.0,IPE
22,1888,5.2,5.0,5.333333333333333,15.533333333333331,5.0,3,5,23.53333333333333,13.177777777777777,1.0,INE
23,1889,5.4,6.0,6.0,17.4,5.0,4,6,26.4,14.8,0.6,INE
24,1893,5.6,6.333333333333333,6.333333333333333,18.266666666666666,5.0,3,7,26.266666666666666,14.088888888888889,0.8,INE
25,1899,4.4,6.0,6.0,16.4,5.5,2,5,23.9,12.966666666666665,0.4,INE
26,1892,3.8,4.333333333333333,6.0,14.133333333333333,4.0,2,3,20.133333333333333,10.711111111111112,1.0,INE
27,1921,4.6,5.666666666666667,4.333333333333333,14.599999999999998,5.0,4,3,23.599999999999998,13.866666666666667,0.6666666666666666,INE
28,1941,6.0,5.0,6.666666666666667,17.666666666666668,6.0,4,6,27.666666666666668,15.88888888888889,0.8,INE
29,1944,5.4,5.333333333333333,5.666666666666667,16.400000000000002,6.0,3,6,25.400000000000002,14.466666666666669,1.0,INE
30,1948,3.4,4.666666666666667,5.0,13.066666666666666,4.0,6,3,23.066666666666666,14.355555555555554,0.8,INE
31,1949,5.8,5.333333333333333,6.333333333333333,17.466666666666665,5.5,3,6,25.966666666666665,14.322222222222223,0.8,INE
32,1950,5.8,6.333333333333333,6.666666666666667,18.8,6.5,2,6,27.3,14.766666666666666,0.75,INE
33,1967,5.0,5.0,6.333333333333333,16.333333333333332,4.0,5,6,25.333333333333332,14.444444444444443,0.2,INE
34,1969,6.6,6.0,6.666666666666667,19.266666666666666,7.0,3,7,29.266666666666666,16.42222222222222,0.8,INE
